6/17/2019,PETER'S YIG STO,-$25.02
6/17/2019,REAL CDN SUPERS ,-$5.89
6/17/2019,TIM HORTONS #30 ,-$7.13
6/17/2019,PETER'S YIG STO ,-$10.40
6/17/2019,HOUSE OF KOI (U ,-$13.50
6/17/2019,A&W #0612 ,-$13.94
6/18/2019,TIM HORTONS #30 ,-$4.91
6/18/2019,FATBURGER ,-$13.10
6/19/2019,UBC OKANAGAN ,-$2.75
6/19/2019,HOUSE OF KOI (U ,-$13.50
6/20/2019,FORTISBC1 ,-$38.94
6/20/2019,PETER'S YIG STO ,-$14.85
6/20/2019,MONTHLY FEE,-$10.95
6/21/2019,PETER'S YIG STO ,-$21.02
6/24/2019,PETER'S YIG STO,-$22.87
6/24/2019,STARBUCKS #4852 ,-$10.19
6/24/2019,FATBURGER ,-$14.78
6/24/2019,PETER'S YIG STO ,-$22.19
6/25/2019,MOMO SUSHI,-$20.04
6/26/2019,A&W #0612 ,-$10.48
6/26/2019,PETER'S YIG STO ,-$10.88
6/26/2019,PETER'S YIG STO ,-$27.53
6/27/2019,UBCO THE COMMON ,-$3.15
6/27/2019,A&W #0612 ,-$10.48
6/28/2019,BLUETAIL SUSHI,-$18.11
6/28/2019,U.B.C.-PAYROLL ,$319.54
6/28/2019,PETER'S YIG STO ,-$6.56
7/2/2019,IDP REFUND --- 2448 WAL-MART #30,$21.80
7/2/2019,WAL-MART #3042,-$102.01
7/2/2019,BR TO BR - 2400,$11.50
7/2/2019,FEES/DUES,-$142.88
7/2/2019,WWW PAYMENT - 1426 KELOWNA-TAXES,-$882.25
7/2/2019,PETER'S YIG STO ,-$5.38
7/2/2019,PETER'S YIG STO ,-$16.43
7/2/2019,REAL CDN SUPERS ,-$40.06
7/3/2019,A&W #0612 ,-$10.48
7/3/2019,PETER'S YIG STO ,-$17.00
7/4/2019,UBCO TIM HORTON ,-$1.25
7/5/2019,FATBURGER ,-$14.41
7/5/2019,PETER'S YIG STO ,-$37.37
